"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"1","auc01",1,1,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"2","auc02",2,2,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"3","auc03",3,3,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"4","auc04",4,4,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"5","auc05",5,5,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"6","auc06",6,6,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"7","auc07",7,7,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"8","auc08",8,8,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.727847196728328
"9","auc09",9,9,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"10","auc10",10,10,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"11","auc11",11,11,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"12","auc12",12,12,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"13","auc13",13,13,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"14","auc14",14,14,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"15","auc15",15,15,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,1
"16","auc16",16,16,0.401691717962225,0.401691717962225,1.80601858043505,0.0165985172879012,0.136,5,0.289478879954279
"17","auc17",17,17,0.401691717962225,0.401691717962225,1.80601858043505,0.0165985172879012,0.136,5,0.289478879954279
"18","auc18",18,18,0.401691717962225,0.401691717962225,1.80601858043505,0.0165985172879012,0.136,5,0.289478879954279
"19","auc19",19,19,0.401691717962225,0.401691717962225,1.80601858043505,0.0165985172879012,0.136,5,0.289478879954279
"20","auc20",20,20,0.358853524368751,0.358853524368751,1.67047877379139,0.0153719647933885,0.158,6,0.142035586588573
"21","auc21",21,21,0.358853524368751,0.358853524368751,1.67047877379139,0.0153719647933885,0.158,6,0.142035586588573
"22","auc22",22,22,0.358853524368751,0.358853524368751,1.67047877379139,0.0153719647933885,0.158,6,0.142035586588573
"23","auc23",23,23,0.358853524368751,0.358853524368751,1.67047877379139,0.0153719647933885,0.158,6,0.142035586588573
"24","auc24",24,24,0.362374479184353,0.362374479184353,1.53991009546579,0.0141875011146717,0.188,7,0
"25","auc25",25,25,0.362374479184353,0.362374479184353,1.53991009546579,0.0141875011146717,0.188,7,0
"26","auc26",26,26,0.362374479184353,0.362374479184353,1.53991009546579,0.0141875011146717,0.188,7,0
"27","auc27",27,27,0.426230517221701,0.426230517221701,1.79728246633408,0.0165195529299202,0.109,8,0.279975535762174
"28","auc28",28,28,0.426230517221701,0.426230517221701,1.79728246633408,0.0165195529299202,0.109,8,0.279975535762174
"29","auc29",29,29,0.426230517221701,0.426230517221701,1.79728246633408,0.0165195529299202,0.109,8,0.279975535762174
"30","auc30",30,30,0.426230517221701,0.426230517221701,1.79728246633408,0.0165195529299202,0.109,8,0.279975535762174
"31","auc31",31,31,0.484980227707614,0.484980227707614,2.02740004575336,0.0185953259905543,0.083,9,0.530302687697139
"32","auc32",32,32,0.484980227707614,0.484980227707614,2.02740004575336,0.0185953259905543,0.083,9,0.530302687697139
"33","auc33",33,33,0.484980227707614,0.484980227707614,2.02740004575336,0.0185953259905543,0.083,9,0.530302687697139
"34","auc34",34,34,0.592254006610889,0.592254006610889,2.38539540874849,0.0218072568082311,0.037,10,0.919738209531867
"35","auc35",35,35,0.592254006610889,0.592254006610889,2.38539540874849,0.0218072568082311,0.037,10,0.919738209531867
"36","auc36",36,36,0.575505414027453,0.575505414027453,2.33855716524429,0.0213882204583147,0.038,11,0.868786499855322
"37","auc37",37,37,0.575505414027453,0.575505414027453,2.33855716524429,0.0213882204583147,0.038,11,0.868786499855322
"38","auc38",38,38,0.575505414027453,0.575505414027453,2.33855716524429,0.0213882204583147,0.038,11,0.868786499855322
"39","auc39",39,39,0.560260154837034,0.560260154837034,2.27554949905633,0.0208239584196827,0.04,12,0.800245323354573
"40","auc40",40,40,0.560260154837034,0.560260154837034,2.27554949905633,0.0208239584196827,0.04,12,0.800245323354573
"41","auc41",41,41,0.560260154837034,0.560260154837034,2.27554949905633,0.0208239584196827,0.04,12,0.800245323354573
"42","auc42",42,42,0.555138934748326,0.555138934748326,2.30862908294154,0.0211202821068206,0.036,13,0.836230049258936
"43","auc43",43,43,0.555138934748326,0.555138934748326,2.30862908294154,0.0211202821068206,0.036,13,0.836230049258936
"44","auc44",44,44,0.555138934748326,0.555138934748326,2.30862908294154,0.0211202821068206,0.036,13,0.836230049258936
"45","auc45",45,45,0.515931736758885,0.515931736758885,2.24914742321325,0.020587322430082,0.038,14,0.77152454301416
"46","auc46",46,46,0.515931736758885,0.515931736758885,2.24914742321325,0.020587322430082,0.038,14,0.77152454301416
"47","auc47",47,47,0.564059892696291,0.564059892696291,2.30546812786829,0.021091974329878,0.035,15,0.832791490228037
"48","auc48",48,48,0.564059892696291,0.564059892696291,2.30546812786829,0.021091974329878,0.035,15,0.832791490228037
"49","auc49",49,49,0.560527682423153,0.560527682423153,2.30468170244225,0.0210849312815003,0.033,16,0.831935998711024
"50","auc50",50,50,0.560527682423153,0.560527682423153,2.30468170244225,0.0210849312815003,0.033,16,0.831935998711024
"51","auc51",51,51,0.568186283236223,0.568186283236223,2.21907583490826,0.0203176580459492,0.036,17,0.738811983315131
"52","auc52",52,52,0.568186283236223,0.568186283236223,2.21907583490826,0.0203176580459492,0.036,17,0.738811983315131
"53","auc53",53,53,0.569120147303618,0.569120147303618,2.17012899582257,0.0198784137729251,0.033,18,0.685566495267406
"54","auc54",54,54,0.569120147303618,0.569120147303618,2.17012899582257,0.0198784137729251,0.033,18,0.685566495267406
"55","auc55",55,55,0.586289418040284,0.586289418040284,2.23127477941029,0.0204270689316433,0.032,19,0.752082273405578
"56","auc56",56,56,0.586289418040284,0.586289418040284,2.23127477941029,0.0204270689316433,0.032,19,0.752082273405578
"57","auc57",57,57,0.58340373908604,0.58340373908604,2.17104900008919,0.0198866734356232,0.039,20,0.68656729689418
