"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"1","auc01",1,1,0.607803145927936,0.607803145927936,2.2080219722312,0.0202184961539972,0.034,26,0.982878730676194
"2","auc02",2,2,0.651960509131635,0.651960509131635,2.00911005039851,0.0184306618911909,0.033,51,0.376473994375596
"3","auc03",3,3,0.781274075460966,0.781274075460966,2.17621821779281,0.0199330793218311,0.017,77,0.885921508877272
"4","auc04",4,4,0.842333028445318,0.842333028445318,2.21363806389662,0.0202688794471027,0.013,104,1
"5","auc05",5,5,0.861157125959468,0.861157125959468,2.15667889035547,0.0197576448118377,0.015,132,0.82635373338668
"6","auc06",6,6,0.904307152575395,0.904307152575395,2.12635680726313,0.0194852725727723,0.011,159,0.733913548644213
"7","auc07",7,7,0.933356836859217,0.933356836859217,2.14941771334074,0.0196924340813779,0.011,186,0.804217241555146
"8","auc08",8,8,0.955052570870229,0.955052570870229,2.17488599364219,0.0199211198971973,0.011,214,0.881860077931841
"9","auc09",9,9,0.964268447186513,0.964268447186513,2.16977078704654,0.0198751977896796,0.01,242,0.866265811493797
"10","auc10",10,10,0.976235967858326,0.976235967858326,2.16492586597468,0.0198316982199267,0.01,269,0.851495540019343
"11","auc11",11,11,0.980922774579264,0.980922774579264,2.14809515012475,0.0196805555531703,0.01,297,0.800185263024912
"12","auc12",12,12,0.981121707409214,0.981121707409214,2.12855611960898,0.019505033286393,0.01,325,0.740618392732184
"13","auc13",13,13,1.00839403845372,1.00839403845372,2.16709006096468,0.0198511296742861,0.01,353,0.85809332500941
"14","auc14",14,14,1.02522591814597,1.02522591814597,2.18780128255551,0.0200370486158425,0.008,381,0.921233747923898
"15","auc15",15,15,1.03750014455674,1.03750014455674,2.17879683166956,0.0199562268031658,0.006,409,0.893782695142751
"16","auc16",16,16,1.03948630357281,1.03948630357281,2.16603804605384,0.0198416841430121,0.006,437,0.854886142560432
"17","auc17",17,17,1.0461218282083,1.0461218282083,2.15990494452946,0.0197866143766526,0.005,465,0.836188712168483
