"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"1","auc01",1,1,0.477300073061329,0.477300073061329,2.20899626451927,0.0202272371331825,0.126,3,0.448981048829513
"2","auc02",2,2,0.492516449338106,0.492516449338106,2.45917745276416,0.0224666173270431,0.087,4,0.796336442129063
"3","auc03",3,3,0.533048817566994,0.533048817566994,2.60586523102587,0.023774870309479,0.057,6,1
"4","auc04",4,4,0.452156170831426,0.452156170831426,2.0335493215699,0.0186506752666778,0.098,7,0.205387826257852
"5","auc05",5,5,0.437454264973276,0.437454264973276,1.97637385898521,0.0181358012659021,0.098,8,0.12600453835952
"6","auc06",6,6,0.46746222578907,0.46746222578907,1.97038060323499,0.0180817997728136,0.087,10,0.117683410288834
"7","auc07",7,7,0.455339738938052,0.455339738938052,1.9113578221292,0.0175496647948396,0.089,11,0.0357352770640242
"8","auc08",8,8,0.549182112152112,0.549182112152112,2.25059789001633,0.0206003256136138,0.04,13,0.506741382801093
"9","auc09",9,9,0.513502462789474,0.513502462789474,2.20662535451845,0.0202059659599869,0.042,14,0.445689241073736
"10","auc10",10,10,0.559439893823151,0.559439893823151,2.19246704786292,0.0200789221741998,0.049,16,0.426031631277861
"11","auc11",11,11,0.579315055478328,0.579315055478328,2.30624829622785,0.0210989612412435,0.038,18,0.584007259074573
"12","auc12",12,12,0.563156304678812,0.563156304678812,2.26299483361553,0.0207114479798179,0.04,19,0.523953489154188
"13","auc13",13,13,0.620531633058714,0.620531633058714,2.43641180971851,0.022263264752821,0.029,21,0.764728274667251
"14","auc14",14,14,0.619827527473692,0.619827527473692,2.32297501461838,0.0212487358152095,0.032,23,0.607230891058708
"15","auc15",15,15,0.603198339833189,0.603198339833189,2.18666049144205,0.0200268098831857,0.035,25,0.417969719415366
"16","auc16",16,16,0.604247601910031,0.604247601910031,2.18060438733609,0.0199724520630059,0.039,27,0.409561331725029
"17","auc17",17,17,0.610035598847257,0.610035598847257,2.16105810413861,0.0197969691909452,0.039,29,0.382422972781126
"18","auc18",18,18,0.599265866373059,0.599265866373059,2.12314243649916,0.0194563901762145,0.046,31,0.329780279149713
"19","auc19",19,19,0.586978300379472,0.586978300379472,2.03432772703454,0.0186576812041016,0.048,34,0.206468576326284
"20","auc20",20,20,0.577692422576704,0.577692422576704,2.02969391962109,0.0186159737467246,0.047,36,0.200034927146396
"21","auc21",21,21,0.616782177881902,0.616782177881902,2.11713786552701,0.0194024321654781,0.038,38,0.321443440851608
"22","auc22",22,22,0.653429408025325,0.653429408025325,2.15188713467717,0.0197146122817104,0.024,41,0.369689858326899
"23","auc23",23,23,0.623542713098186,0.623542713098186,1.97680371785938,0.01813967422808,0.035,44,0.126601361003741
"24","auc24",24,24,0.657054624102301,0.657054624102301,2.06479924598058,0.0189318575769228,0.027,47,0.248775699904163
"25","auc25",25,25,0.645256280611439,0.645256280611439,2.03601843667602,0.0186728978723527,0.03,50,0.208815983485832
"26","auc26",26,26,0.645806221384893,0.645806221384893,2.01373941581696,0.0184723451062975,0.033,53,0.177883449720533
"27","auc27",27,27,0.654854399459662,0.654854399459662,2.03405104270676,0.0186551909541548,0.029,56,0.20608442356815
"28","auc28",28,28,0.671231822384382,0.671231822384382,2.01858055729064,0.0185159313850161,0.031,60,0.18460496468498
"29","auc29",29,29,0.683981768779804,0.683981768779804,2.03150875586956,0.018632308944915,0.031,63,0.202554673588111
"30","auc30",30,30,0.754634403902687,0.754634403902687,2.13410994490778,0.0195549305893923,0.022,68,0.345007735792315
"31","auc31",31,31,0.795006188005073,0.795006188005073,2.21633131004912,0.0202930393601784,0.015,72,0.459165138379827
"32","auc32",32,32,0.782183252702428,0.782183252702428,2.15251297558027,0.0197202328824241,0.018,77,0.370558785421544
"33","auc33",33,33,0.803208235248411,0.803208235248411,2.15849973278119,0.0197739959606002,0.014,82,0.378870890806869
"34","auc34",34,34,0.835138792783362,0.835138792783362,2.24177654227694,0.0205212384239226,0.012,88,0.49449368850024
"35","auc35",35,35,0.832123322398299,0.832123322398299,2.17806975193793,0.0199497001264694,0.013,93,0.406042205120126
"36","auc36",36,36,0.873651312441901,0.873651312441901,2.27289546692002,0.020800176083996,0.012,99,0.537699680062951
"37","auc37",37,37,0.876258237968616,0.876258237968616,2.25612581222967,0.0206498793130109,0.011,105,0.51441643466257
"38","auc38",38,38,0.84256456615217,0.84256456615217,2.13322547719077,0.0195469845948667,0.014,111,0.343779727268333
"39","auc39",39,39,0.846099143133974,0.846099143133974,2.12755100479751,0.0194960024779075,0.015,118,0.335901202892643
"40","auc40",40,40,0.854775737646802,0.854775737646802,2.12484431728765,0.0194716824622404,0.015,125,0.33214319650086
"41","auc41",41,41,0.865992153421747,0.865992153421747,2.13572302534063,0.0195694220566508,0.015,132,0.347247361369714
"42","auc42",42,42,0.886187622473465,0.886187622473465,2.17458694644568,0.0199184352995299,0.013,140,0.401206624635318
"43","auc43",43,43,0.916141277419824,0.916141277419824,2.1972592350467,0.0201219265981494,0.011,148,0.432685177356464
"44","auc44",44,44,0.92971876078003,0.92971876078003,2.21663671151222,0.0202957789056196,0.009,157,0.459589162448451
"45","auc45",45,45,0.927784716367586,0.927784716367586,2.18587084032354,0.0200197225474367,0.009,166,0.416873355708863
"46","auc46",46,46,0.924284068097029,0.924284068097029,2.15599625945316,0.0197515146518251,0.009,175,0.375395030097377
"47","auc47",47,47,0.950124198517749,0.950124198517749,2.12940271145642,0.0195126396603367,0.01,185,0.338472140776881
"48","auc48",48,48,0.957254611601883,0.957254611601883,2.13197484453644,0.0195357487809924,0.01,196,0.342043329737556
"49","auc49",49,49,0.97821350483893,0.97821350483893,2.15346564252259,0.0197287885441511,0.008,207,0.37188148279442
"50","auc50",50,50,0.990799967210219,0.990799967210219,2.17292506628924,0.0199035160500633,0.006,219,0.398899244774315
"51","auc51",51,51,0.987695348918449,0.987695348918449,2.1596876944137,0.019784663551435,0.006,232,0.380520274931143
"52","auc52",52,52,1.00199186176466,1.00199186176466,2.18439008335526,0.0200064320704418,0.006,245,0.414817450056226
"53","auc53",53,53,1.00293541989182,1.00293541989182,2.17489246938606,0.0199211780308914,0.006,258,0.401630817364842
"54","auc54",54,54,1.00078355443408,1.00078355443408,2.15151595537166,0.0197112787352522,0.007,272,0.369174507294491
"55","auc55",55,55,1.00305224872232,1.00305224872232,2.14918573510927,0.0196903506025694,0.006,286,0.365939193794724
"56","auc56",56,56,1.00151743557517,1.00151743557517,2.12756401529861,0.0194961193764057,0.007,301,0.335919266871631
"57","auc57",57,57,1.01144252224291,1.01144252224291,2.13212963786579,0.0195371394743313,0.007,316,0.342258247166696
"58","auc58",58,58,1.02517749402773,1.02517749402773,2.15339323317847,0.0197281382593237,0.006,333,0.371780948552095
"59","auc59",59,59,1.02544660704267,1.02544660704267,2.13731892682504,0.0195837587714435,0.006,349,0.349463135431994
"60","auc60",60,60,1.04040095674174,1.04040095674174,2.14683023096534,0.0196691944825373,0.006,367,0.362668775766595
"61","auc61",61,61,1.05028072765628,1.05028072765628,2.1584087518688,0.0197731789657647,0.005,385,0.378744571514722
"62","auc62",62,62,1.05130168601218,1.05130168601218,2.15377526882086,0.0197315691877501,0.005,404,0.372311372688888
"63","auc63",63,63,1.05015910984203,1.05015910984203,2.14147991480372,0.0196211368626792,0.006,424,0.355240314867376
"64","auc64",64,64,1.05319457470015,1.05319457470015,2.14002045092371,0.0196080268455328,0.005,444,0.353213972864599
"65","auc65",65,65,1.05638588495299,1.05638588495299,2.12171590176283,0.0194435716505128,0.006,465,0.327799656474331
"66","auc66",66,66,1.05410838729483,1.05410838729483,2.09985890823333,0.0192471276246065,0.006,487,0.297453071916768
"67","auc67",67,67,1.05475261769759,1.05475261769759,2.09017028219926,0.0191600240130922,0.006,510,0.284001235149156
"68","auc68",68,68,1.05565227070442,1.05565227070442,2.08646609134251,0.0191267181539773,0.005,534,0.278858279833729
"69","auc69",69,69,1.05627131926579,1.05627131926579,2.07836960341174,0.019053911522223,0.005,559,0.267616991992449
"70","auc70",70,70,1.06085371764213,1.06085371764213,2.07614981576858,0.0190339484779691,0.005,585,0.264535004832492
"71","auc71",71,71,1.06848404649956,1.06848404649956,2.08117744952858,0.0190791619433292,0.005,612,0.271515448543403
"72","auc72",72,72,1.069648198065,1.069648198065,2.07456847662973,0.0190197266475937,0.005,640,0.262339449353813
"73","auc73",73,73,1.07402930410579,1.07402930410579,2.07585141629178,0.0190312648431157,0.005,668,0.264120702428899
"74","auc74",74,74,1.07643540199872,1.07643540199872,2.07276287507415,0.0190034874008663,0.005,699,0.259832524501134
"75","auc75",75,75,1.08009495369987,1.08009495369987,2.05697494111544,0.0188614707333125,0.004,730,0.237912315199689
"76","auc76",76,76,1.0817556478375,1.0817556478375,2.05441965385919,0.0188384813781959,0.004,763,0.234364515238728
"77","auc77",77,77,1.14279946950337,1.14279946950337,2.1332856806855,0.01954752546283,0.002,797,0.343863314722448
"78","auc78",78,78,1.14545269918492,1.14545269918492,2.12822531736376,0.0195020610953263,0.002,832,0.33683742878676
"79","auc79",79,79,1.14539883296707,1.14539883296707,2.11802261290227,0.0194103830163417,0.002,869,0.322671837657378
"80","auc80",80,80,1.14828791190479,1.14828791190479,2.11512858183549,0.0193843751029369,0.002,908,0.318653720601994
"81","auc81",81,81,1.14820754011631,1.14820754011631,2.10861951023007,0.0193258747081147,0.002,949,0.3096164258982
"82","auc82",82,82,1.15064467906729,1.15064467906729,2.10396630049181,0.0192840496256305,0.002,991,0.303155838233401
"83","auc83",83,83,1.16327747001041,1.16327747001041,2.10590672248784,0.0193014914201139,0.002,1035,0.305849949850384
"84","auc84",84,84,1.17054211519398,1.17054211519398,2.10383064912501,0.0192828302783509,0.001,1082,0.302967497798235
"85","auc85",85,85,1.17345853778415,1.17345853778415,2.09921987079967,0.0192413829657596,0.001,1131,0.296565822556977
"86","auc86",86,86,1.16348698812702,1.16348698812702,2.06409190121054,0.0189254947731117,0.001,1183,0.247793611592404
"87","auc87",87,87,1.16511567851976,1.16511567851976,2.06030274737218,0.0188914086562246,0.001,1238,0.242532692372101
"88","auc88",88,88,1.17133207064207,1.17133207064207,2.0611207503541,0.0188987673716659,0.001,1296,0.24366842023997
"89","auc89",89,89,1.17008570200253,1.17008570200253,2.04294517024324,0.0187352347009125,0.002,1358,0.218433166453913
"90","auc90",90,90,1.17020567951326,1.17020567951326,2.03435015773632,0.0186578830872408,0.002,1424,0.206499719456167
"91","auc91",91,91,1.16976158706923,1.16976158706923,2.0202387064151,0.0185308593192085,0.002,1496,0.186907164324037
"92","auc92",92,92,1.16813517085739,1.16813517085739,2.00954348470961,0.0184345647222299,0.002,1573,0.172057754710149
"93","auc93",93,93,1.17229949221229,1.17229949221229,2.00688743582854,0.0184106480153374,0.002,1658,0.168370055766118
"94","auc94",94,94,1.17272935012345,1.17272935012345,1.99347618463346,0.0182898670123754,0.002,1752,0.149749669212722
"95","auc95",95,95,1.17569615749529,1.17569615749529,1.97861054390575,0.0181559531180533,0.001,1855,0.129109985958166
"96","auc96",96,96,1.18292495028278,1.18292495028278,1.97525588955474,0.0181257283906416,0.001,1973,0.124452332480487
"97","auc97",97,97,1.20331197503958,1.20331197503958,1.97658522071062,0.0181377056062771,0.001,2110,0.126297996216104
"98","auc98",98,98,1.20659808659602,1.20659808659602,1.95508788056163,0.0179439796579746,0.001,2277,0.0964507599201519
"99","auc99",99,99,1.20946087569569,1.20946087569569,1.91516405870854,0.0175839982913325,0.001,2497,0.0410199142235205
"100","auc100",100,100,1.24956045112694,1.24956045112694,1.88561964661618,0.0173174350546553,0.001,2996,0
