"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"1","auc01",1,1,0.55163259567896,0.55163259567896,2.53383219718007,0.0231328727056562,0.073,5,1
"2","auc02",2,2,0.517595799217461,0.517595799217461,2.49923221720291,0.0228241985500449,0.06,8,0.673489030465833
"3","auc03",3,3,0.43158385531254,0.43158385531254,1.84567610685028,0.0169568160432798,0.11,11,0.346978060931665
"4","auc04",4,4,0.453311376765184,0.453311376765184,1.89888667213358,0.0174371541359338,0.092,15,0.0204670913974977
"5","auc05",5,5,0.460295698101512,0.460295698101512,1.91546761692528,0.0175867363822218,0.087,18,0.0460465788314882
"6","auc06",6,6,0.527426411163345,0.527426411163345,2.12112232350894,0.0194382377888352,0.06,22,0.363310887282089
"7","auc07",7,7,0.553158887801849,0.553158887801849,2.04694997851905,0.0187712721806733,0.052,26,0.248884924802097
"8","auc08",8,8,0.611132238288858,0.611132238288858,2.22418788086371,0.0203635103544075,0.039,30,0.522310519833355
"9","auc09",9,9,0.580279067658664,0.580279067658664,2.04020088216286,0.0187105385505265,0.05,35,0.238473067842025
"10","auc10",10,10,0.61000721518497,0.61000721518497,2.11423221554508,0.0193763194096312,0.043,39,0.352681491171406
"11","auc11",11,11,0.643774881802021,0.643774881802021,2.11377010847033,0.0193721663761505,0.029,44,0.351968596806211
"12","auc12",12,12,0.669069445874719,0.669069445874719,2.15495823308095,0.0197421928235218,0.032,49,0.415509675384209
"13","auc13",13,13,0.667939040728748,0.667939040728748,2.11830789096345,0.0194129466622611,0.033,55,0.358969051347203
"14","auc14",14,14,0.66902774674441,0.66902774674441,2.03396803323009,0.0186544438390998,0.031,61,0.228857627771722
"15","auc15",15,15,0.685890583278969,0.685890583278969,2.02166624314731,0.018543710739464,0.032,67,0.209879608799279
"16","auc16",16,16,0.769889810601084,0.769889810601084,2.13896693234689,0.0195985631206569,0.021,73,0.390839834110456
"17","auc17",17,17,0.772438423178832,0.772438423178832,2.1330864501266,0.0195457355739812,0.021,80,0.381767991525536
"18","auc18",18,18,0.782627149722138,0.782627149722138,2.14258348589722,0.0196310497467203,0.019,88,0.396419105210943
"19","auc19",19,19,0.815139695205828,0.815139695205828,2.19208594586606,0.0200755020556419,0.018,95,0.472786740989942
"20","auc20",20,20,0.825007318346141,0.825007318346141,2.21298601260347,0.0202630300058647,0.016,103,0.505029354495685
"21","auc21",21,21,0.843637417203187,0.843637417203187,2.24353931074183,0.0205370434251504,0.013,112,0.552164045287751
"22","auc22",22,22,0.833921697906769,0.833921697906769,2.18110622016827,0.019976956596959,0.015,120,0.455848275839526
"23","auc23",23,23,0.849713297244,0.849713297244,2.16966327122867,0.0198742325130949,0.015,130,0.438195194408675
"24","auc24",24,24,0.873773670005777,0.873773670005777,2.19087075362819,0.020064596412749,0.014,139,0.470912059241161
"25","auc25",25,25,0.877288215190035,0.877288215190035,2.18214113693109,0.0199862460491075,0.014,149,0.457444845918147
"26","auc26",26,26,0.897668860556228,0.897668860556228,2.22111385207744,0.0203359384805907,0.011,159,0.517568203777296
"27","auc27",27,27,0.884518910120802,0.884518910120802,2.14551286892714,0.0196573621079933,0.013,170,0.400938275701194
"28","auc28",28,28,0.892936601869593,0.892936601869593,2.15726533590543,0.0197629111472054,0.013,181,0.419068851803215
"29","auc29",29,29,0.895196658255731,0.895196658255731,2.13321019974127,0.0195468473422248,0.014,192,0.381958900533025
"30","auc30",30,30,0.922611219045444,0.922611219045444,2.10039382191405,0.0192519362060466,0.013,204,0.331332947982934
"31","auc31",31,31,0.927946889616776,0.927946889616776,2.10824309193826,0.0193224914286429,0.012,216,0.343442047100774
"32","auc32",32,32,0.937515993728274,0.937515993728274,2.12148629667206,0.0194415084386251,0.011,229,0.363872390083612
"33","auc33",33,33,0.947059841082517,0.947059841082517,2.13490129033237,0.0195620398707547,0.011,241,0.384567752505453
"34","auc34",34,34,0.952536087074598,0.952536087074598,2.12732636663757,0.0194939841143944,0.011,254,0.372881888527336
"35","auc35",35,35,0.960763579759969,0.960763579759969,2.1353312269846,0.0195659022882648,0.011,267,0.385231017435849
"36","auc36",36,36,0.957805722692679,0.957805722692679,2.11927374747006,0.0194216262140326,0.011,280,0.360459081902409
"37","auc37",37,37,0.966062565011517,0.966062565011517,2.12128855889611,0.0194397315767691,0.01,294,0.36356733925456
