hor.plot,horizon,plot,cover.class,brome.cover,type
A01,A,01,1,0,natural
A03,A,03,1,0,natural
A05,A,05,1,0,natural
A07,A,07,1,0,natural
A08,A,08,1,0,natural
A09,A,09,1,0,natural
A10,A,10,1,0,natural
A11,A,11,1,0,natural
A12,A,12,1,0,natural
A15,A,15,1,0,natural
A16,A,16,1,0,natural
A17,A,17,1,0,natural
A18,A,18,1,0,natural
A19,A,19,1,0,natural
A20,A,20,1,0,natural
A21,A,21,2,12,invaded
A22,A,22,2,16,invaded
A23,A,23,2,10,invaded
A25,A,25,2,20,invaded
A27,A,27,2,14,invaded
A30,A,30,2,30,invaded
A31,A,31,2,18,invaded
A34,A,34,2,40,invaded
A35,A,35,2,20,invaded
A36,A,36,2,20,invaded
A37,A,37,2,15,invaded
A39,A,39,2,15,invaded
A40,A,40,2,18,invaded
A41,A,41,3,75,invaded
A42,A,42,3,60,invaded
A44,A,44,4,94,invaded
A45,A,45,3,67,invaded
A48,A,48,3,76,invaded
A49,A,49,3,72,invaded
A50,A,50,3,78,invaded
A51,A,51,3,70,invaded
A52,A,52,3,65,invaded
A53,A,53,3,55,invaded
A56,A,56,3,70,invaded
A57,A,57,4,92,invaded
A58,A,58,3,65,invaded
A59,A,59,4,90,invaded
A60,A,60,3,60,invaded
A63,A,63,4,87,invaded
A64,A,64,4,90,invaded
A65,A,65,4,92,invaded
A66,A,66,4,97,invaded
A67,A,67,4,95,invaded
A70,A,70,4,92,invaded
A71,A,71,4,87,invaded
A72,A,72,4,96,invaded
A73,A,73,4,96,invaded
A74,A,74,4,96,invaded
A75,A,75,4,86,invaded
A76,A,76,4,94,invaded
A77,A,77,4,88,invaded
A80,A,80,4,95,invaded
B03,B,03,1,0,natural
B07,B,07,1,0,natural
B08,B,08,1,0,natural
B09,B,09,1,0,natural
B10,B,10,1,0,natural
B11,B,11,1,0,natural
B12,B,12,1,0,natural
B15,B,15,1,0,natural
B16,B,16,1,0,natural
B17,B,17,1,0,natural
B18,B,18,1,0,natural
B19,B,19,1,0,natural
B20,B,20,1,0,natural
B21,B,21,2,12,invaded
B23,B,23,2,10,invaded
B25,B,25,2,20,invaded
B27,B,27,2,14,invaded
B28,B,28,2,20,invaded
B30,B,30,2,30,invaded
B31,B,31,2,18,invaded
B35,B,35,2,20,invaded
B36,B,36,2,20,invaded
B37,B,37,2,15,invaded
B38,B,38,2,25,invaded
B40,B,40,2,18,invaded
B41,B,41,3,75,invaded
B42,B,42,3,60,invaded
B44,B,44,4,94,invaded
B45,B,45,3,67,invaded
B46,B,46,3,50,invaded
B48,B,48,3,76,invaded
B51,B,51,3,70,invaded
B52,B,52,3,65,invaded
B53,B,53,3,55,invaded
B56,B,56,3,70,invaded
B57,B,57,4,92,invaded
B58,B,58,3,65,invaded
B59,B,59,4,90,invaded
B60,B,60,3,60,invaded
B63,B,63,4,87,invaded
B64,B,64,4,90,invaded
B65,B,65,4,92,invaded
B66,B,66,4,97,invaded
B67,B,67,4,95,invaded
B70,B,70,4,92,invaded
B71,B,71,4,87,invaded
B72,B,72,4,96,invaded
B74,B,74,4,96,invaded
B75,B,75,4,86,invaded
B76,B,76,4,94,invaded
B77,B,77,4,88,invaded
B80,B,80,4,95,invaded
